trading_day_id,dow,hour,side,asia_quartile,contain_streak,resolve_streak,asia_contains_prev_ny,asia_resolves_prev_ny
2017-01-31,Wednesday,1,down_sweep,Q2,2.0,0.0,True,False
2017-02-01,Thursday,1,up_sweep,Q4,3.0,0.0,True,False
2017-02-07,Wednesday,1,down_sweep,Q4,2.0,0.0,True,False
2017-02-08,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2017-02-14,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False
2017-02-23,Friday,1,up_sweep,Q3,2.0,0.0,True,False
2017-03-02,Friday,1,up_sweep,Q3,2.0,0.0,True,False
2017-03-08,Thursday,1,down_sweep,Q1,2.0,0.0,True,False
2017-03-09,Friday,1,up_sweep,Q3,3.0,0.0,True,False
2017-04-11,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2017-04-12,Thursday,1,up_sweep,Q2,3.0,0.0,True,False
2017-04-13,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2017-04-18,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2017-04-19,Thursday,1,up_sweep,Q1,3.0,0.0,True,False
2017-04-25,Wednesday,1,up_sweep,Q4,2.0,0.0,True,False
2017-05-10,Thursday,1,up_sweep,Q2,3.0,0.0,True,False
2017-05-11,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2017-05-23,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2017-05-31,Thursday,1,up_sweep,Q2,2.0,0.0,True,False
2017-06-01,Friday,1,up_sweep,Q1,3.0,0.0,True,False
2017-06-07,Thursday,1,up_sweep,Q2,2.0,0.0,True,False
2017-06-13,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2017-06-15,Friday,1,down_sweep,Q2,4.0,0.0,True,False
2017-06-27,Wednesday,1,up_sweep,Q1,2.0,0.0,True,False
2017-06-28,Thursday,1,up_sweep,Q2,3.0,0.0,True,False
2017-07-11,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False
2017-07-12,Thursday,1,up_sweep,Q3,3.0,0.0,True,False
2017-07-13,Friday,1,up_sweep,Q3,4.0,0.0,True,False
2017-07-20,Friday,1,up_sweep,Q3,2.0,0.0,True,False
2017-07-27,Friday,1,up_sweep,Q4,2.0,0.0,True,False
2017-08-01,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False
2017-08-02,Thursday,1,up_sweep,Q4,3.0,0.0,True,False
2017-08-03,Friday,1,up_sweep,Q2,4.0,0.0,True,False
2017-08-23,Thursday,1,down_sweep,Q1,3.0,0.0,True,False
2017-09-05,Wednesday,1,down_sweep,Q1,2.0,0.0,True,False
2017-09-07,Friday,1,up_sweep,Q4,4.0,0.0,True,False
2017-09-13,Thursday,1,down_sweep,Q2,2.0,0.0,True,False
2017-09-19,Wednesday,1,up_sweep,Q3,2.0,0.0,True,False
2017-09-21,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2017-09-26,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2017-09-27,Thursday,1,down_sweep,Q3,3.0,0.0,True,False
2017-09-28,Friday,1,down_sweep,Q2,4.0,0.0,True,False
2017-10-05,Friday,1,down_sweep,Q3,2.0,0.0,True,False
2017-10-31,Wednesday,1,down_sweep,Q3,2.0,0.0,True,False
2017-11-01,Thursday,1,up_sweep,Q4,3.0,0.0,True,False
2017-11-02,Friday,1,up_sweep,Q1,4.0,0.0,True,False
2017-11-09,Friday,1,down_sweep,Q1,2.0,0.0,True,False
2017-11-21,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False
2017-11-22,Thursday,1,up_sweep,Q2,3.0,0.0,True,False
2017-11-28,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False
2017-12-06,Thursday,1,down_sweep,Q3,2.0,0.0,True,False
2017-12-19,Wednesday,1,up_sweep,Q2,2.0,0.0,True,False
2017-12-20,Thursday,1,down_sweep,Q2,3.0,0.0,True,False
2017-12-27,Thursday,1,up_sweep,Q1,2.0,0.0,True,False
2017-12-28,Friday,1,up_sweep,Q2,3.0,0.0,True,False
