week,days,mean_pips,std_pips,var_pips,p25_pips,median_pips,p75_pips,cv,roll_var_mean,roll_var_std,z_var,regime,var_diff,z_diff,trend,regime_prev,transition,w_q4,w_q1,w_q2,w_fade_bias
2024-01-01,5,11.399999999999633,1.7986105748612597,3.2350000000027515,10.299999999998644,11.499999999999844,12.799999999999478,0.15777285744397523,,,,Neutral,,,flat,,True,0.6,0.4,0.2,0.3
2024-04-08,5,6.140000000000256,1.0945318634006347,1.1979999999992654,5.800000000000249,5.999999999999339,6.800000000000139,0.1782625184691513,8.42041666666734,8.194570463202847,-0.8813661068752582,Compressing,-1.4349999999999947,-0.27661940626370063,falling,Neutral,True,0.3,0.8,0.2,0.6
2024-04-15,5,9.719999999999729,1.6528762809113902,2.731999999999469,8.599999999998609,9.399999999999409,10.399999999999299,0.17004900009376916,8.277000000000529,8.277392353070848,-0.6698969631352448,Neutral,1.5340000000002036,0.21146914374001335,rising,Compressing,True,0.6,0.4,0.2,0.3
2024-06-10,5,5.459999999999798,1.2340988615179156,1.5229999999998156,4.599999999999049,5.1000000000001044,6.6000000000010495,0.2260254325124471,3.173583333332809,1.7968552370883375,-0.9185956104107941,Compressing,-1.0700000000018515,-0.5264570899828495,falling,Neutral,True,0.3,0.8,0.2,0.6
2024-06-17,5,6.180000000000074,2.7689348132450906,7.667000000000625,4.499999999998394,5.60000000000116,6.300000000001305,0.4480477044085853,3.192333333333211,1.8419070431363356,2.42936617422783,Expanding,6.144000000000809,3.347961784638624,rising,Compressing,True,1.0,0.4,0.1,0.1
2024-07-01,5,7.479999999999708,2.065671803554405,4.266999999999708,5.599999999998939,7.500000000000284,8.60000000000083,0.27615933202600074,5.488833333333303,6.751037868769118,-0.18098451780072228,Neutral,-22.855000000000206,-3.376498946133773,falling,Expanding,True,0.6,0.4,0.2,0.3
2024-07-22,5,8.459999999999468,4.161490117734464,17.3180000000016,6.299999999999084,6.399999999999739,8.599999999998609,0.49190190516958926,6.757500000000323,7.440542391743715,1.4193185716836418,Expanding,10.415000000000216,1.2532817206559022,rising,Neutral,True,1.0,0.4,0.1,0.1
2024-08-12,5,7.600000000000494,3.2931747600138404,10.844999999992215,5.800000000000249,6.800000000000139,7.100000000002105,0.43331246842284554,11.12441666666628,9.037090124023344,-0.030918875748653867,Neutral,-15.44800000000281,-1.723199567799197,falling,Expanding,True,0.6,0.4,0.2,0.3
2024-09-02,5,8.080000000000087,1.8593009439024897,3.4569999999966887,6.200000000000649,8.699999999999264,9.699999999999154,0.23011150295822644,12.746666666665556,8.164666693884541,-1.1377888424553777,Compressing,-8.683000000001947,-1.084519286208587,falling,Neutral,True,0.3,0.8,0.2,0.6
2024-09-09,5,9.419999999999984,3.750599952007159,14.066999999996105,7.099999999999884,7.500000000000284,9.799999999999809,0.3981528611472575,13.279999999998514,8.023238747538711,0.09809006372133926,Neutral,10.609999999999417,1.235878906176717,rising,Compressing,True,0.6,0.4,0.2,0.3
2024-09-16,5,15.06000000000007,15.842600796586499,250.98800000000315,8.00000000000134,9.200000000000319,10.599999999998388,1.051965524341728,31.935499999998783,66.40132306475661,3.298917700576202,Expanding,236.92100000000704,3.2008276368548625,rising,Neutral,True,1.0,0.4,0.1,0.1
2024-09-23,5,8.760000000000545,1.6577092628076693,2.7479999999983464,7.800000000000029,9.399999999999409,9.600000000000719,0.1892362172154756,31.808916666665336,66.45537377375818,-0.43729972485900803,Neutral,-248.2400000000048,-3.7362174254352096,falling,Expanding,True,0.6,0.4,0.2,0.3
2024-11-04,5,35.94000000000008,43.34619937203236,1878.8929999999784,18.299999999999983,19.000000000000128,24.299999999999322,1.2060712123548207,187.37283333333073,514.3190137420871,3.2888540409180465,Expanding,1841.1959999999738,3.1989960181007038,rising,Neutral,True,1.0,0.4,0.1,0.1
2024-11-11,5,17.300000000000093,1.1510864433218615,1.3249999999993731,17.500000000001403,17.599999999999838,17.899999999999583,0.06653678863132112,186.44966666666434,514.6420844974525,-0.35971536771509666,Neutral,-1877.567999999979,-3.648569408633143,falling,Expanding,True,0.6,0.4,0.2,0.3
