week,days,mean_pips,std_pips,var_pips,p25_pips,median_pips,p75_pips,cv,roll_var_mean,roll_var_std,z_var,regime,var_diff,z_diff,trend,regime_prev,transition,w_q4,w_q1,w_q2,w_fade_bias
2022-12-26,1,17.499999999999183,0.0,0.0,17.499999999999183,17.499999999999183,17.499999999999183,0.0,,,,Neutral,,,flat,,True,0.6,0.4,0.2,0.3
2023-01-23,5,14.9199999999996,1.6679328523662156,2.7820000000025003,14.299999999998203,14.300000000000423,15.000000000000568,0.11179174613714882,65.87980000000023,78.60842131832742,-0.8026849915288476,Compressing,-74.40500000000713,-0.7471898689504571,falling,Neutral,True,0.3,0.8,0.2,0.6
2023-01-30,5,13.259999999999826,4.9832720174603296,24.833000000003143,11.200000000000099,13.499999999999623,14.100000000001334,0.3758123693409046,59.038666666667375,73.3717164731882,-0.4661968986259686,Neutral,22.05100000000064,0.33648809290287907,rising,Compressing,True,0.6,0.4,0.2,0.3
2023-03-06,5,16.900000000000137,10.00949549178168,100.18999999999775,12.399999999999078,14.000000000000679,15.400000000000968,0.5922778397503904,49.533090909091015,59.41185531135204,0.852639743792474,Expanding,62.336999999994454,0.9628725186009112,rising,Neutral,True,1.0,0.4,0.1,0.1
2023-03-13,5,20.139999999999603,4.215803600738321,17.77299999999819,19.100000000000783,20.299999999999763,20.700000000000163,0.2093249056970409,46.886416666666605,57.55584159964059,-0.5058290497979655,Neutral,-82.41699999999956,-1.3584687935904394,falling,Expanding,True,0.6,0.4,0.2,0.3
2023-04-17,5,9.779999999999678,2.0825465180882596,4.3370000000015345,8.899999999998354,10.40000000000152,10.699999999999044,0.21293931677794767,26.642083333332014,24.060858679808113,-0.9270277353837301,Compressing,-10.23599999999745,-0.4333439011943326,falling,Neutral,True,0.3,0.8,0.2,0.6
2023-04-24,5,11.059999999999626,4.332782016210997,18.773000000001435,8.499999999997954,9.799999999999809,12.900000000000134,0.39175244269540177,26.137083333331876,24.156932122609476,-0.30484348326822885,Neutral,14.4359999999999,0.6221842521155012,rising,Compressing,True,0.6,0.4,0.2,0.3
2023-05-08,5,9.719999999999729,2.105231578710334,4.4319999999992055,7.699999999999374,10.099999999999554,10.900000000000354,0.21658761097843549,24.10899999999856,24.925805697442126,-0.7894228270430029,Compressing,-12.873000000000161,-0.43154597442182646,falling,Neutral,True,0.3,0.8,0.2,0.6
2023-05-22,5,8.099999999999774,2.315167380557627,5.359999999998063,7.500000000000284,8.299999999998864,9.899999999998244,0.2858231334021841,21.013083333331586,25.31265034344839,-0.6183897427155419,Neutral,3.5029999999990453,0.24815081820581486,rising,Compressing,True,0.6,0.4,0.2,0.3
2023-06-12,5,8.98000000000021,2.0897368255347906,4.366999999996224,7.500000000000284,7.600000000000939,10.900000000000354,0.23271011420208704,12.432416666664302,8.672209286547881,-0.9300302149279256,Compressing,-8.556000000001388,-0.8854802340542185,falling,Neutral,True,0.3,0.8,0.2,0.6
2023-06-26,5,10.540000000000216,2.5744902408051407,6.628000000000912,9.200000000000319,9.200000000000319,10.499999999999954,0.244259036129515,8.958999999998827,5.601023894491863,-0.416173907469,Neutral,2.0900000000021386,0.4614610390295924,rising,Compressing,True,0.6,0.4,0.2,0.3
2023-07-17,5,10.75999999999988,4.6030424721048355,21.188000000000994,8.500000000000174,9.900000000000464,11.900000000000244,0.42779205131086306,8.553749999998704,5.743886012172965,2.1995997088428703,Expanding,16.18100000000027,2.8278977065582795,rising,Neutral,True,1.0,0.4,0.1,0.1
2023-07-24,5,8.039999999999381,1.8915602025839606,3.577999999999474,7.299999999998974,8.899999999998354,8.999999999999009,0.23526868191344605,7.409833333332046,5.231139818964592,-0.7325044762598246,Neutral,-17.61000000000152,-2.9321041851026948,falling,Expanding,True,0.6,0.4,0.2,0.3
2023-07-31,5,13.200000000000324,6.323764701505788,39.990000000010596,9.099999999999664,11.099999999999444,13.300000000000534,0.4790730834473964,10.372999999999664,10.310243183361896,2.8725801587110205,Expanding,36.41200000001112,3.605084634970845,rising,Neutral,True,1.0,0.4,0.1,0.1
2023-08-07,5,11.880000000000557,2.6442390209659012,6.991999999998708,10.300000000000864,10.799999999999699,13.100000000001444,0.22257904216883648,10.800916666666303,10.051222674038996,-0.3789505804607765,Neutral,-32.998000000011885,-3.251530739171797,falling,Expanding,True,0.6,0.4,0.2,0.3
2023-08-14,5,12.100000000000222,5.5330823236240985,30.615000000001455,7.999999999999119,12.500000000001954,13.600000000000279,0.4572795308780163,12.90549999999992,11.26265214103958,1.572409391520716,Expanding,23.623000000002747,1.9513599719814925,rising,Neutral,True,1.0,0.4,0.1,0.1
2023-08-21,5,11.139999999999706,3.0566321335744604,9.34299999999996,8.299999999998864,11.300000000000754,14.099999999999113,0.274383494934878,12.64950000000035,11.305722677036758,-0.2924625072147115,Neutral,-21.272000000001498,-1.8648718987354276,falling,Expanding,True,0.6,0.4,0.2,0.3
2023-09-04,5,11.940000000000062,5.858156706678631,34.31800000000383,6.800000000000139,12.799999999999478,12.900000000000134,0.490632890006583,15.511250000000809,12.44372178466838,1.511344461523913,Expanding,17.005000000008287,1.1336750209866875,rising,Neutral,True,1.0,0.4,0.1,0.1
2023-09-11,5,10.219999999999896,1.591225942473497,2.5320000000006684,9.399999999999409,9.399999999999409,11.600000000000499,0.15569725464515785,15.344083333334304,12.602473040761323,-1.0166324729990972,Compressing,-31.78600000000316,-2.5279769345230103,falling,Expanding,True,0.3,0.8,0.2,0.6
2023-09-18,5,11.619999999999742,7.648986861016897,58.50700000000912,8.299999999998864,8.699999999999264,9.200000000000319,0.6582604871787493,19.667333333334984,17.001591348723856,2.2844724279053708,Expanding,55.97500000000845,3.301104900904468,rising,Compressing,True,1.0,0.4,0.1,0.1
2023-09-25,5,12.460000000000804,3.9866025635868314,15.892999999997095,10.40000000000152,13.100000000001444,14.600000000000168,0.319952051652213,20.43966666666818,16.597274998896616,-0.27394055150459024,Neutral,-42.61400000001203,-2.558412979409961,falling,Expanding,True,0.6,0.4,0.2,0.3
2023-10-23,5,9.14000000000037,1.789692711054349,3.2030000000010657,8.700000000001484,9.00000000000123,9.900000000000464,0.19580883053110246,18.847833333334478,15.418300348578368,-1.0146924745032568,Compressing,-9.889999999997467,-0.4513821432801072,falling,Neutral,True,0.3,0.8,0.2,0.6
2023-10-30,5,12.120000000000353,3.9996249824206087,15.997000000003055,9.900000000000464,11.000000000001009,13.300000000000534,0.3300020612558162,19.598250000001507,15.037444353598675,-0.23948550799701684,Neutral,12.79400000000199,0.77520696650624,rising,Compressing,True,0.6,0.4,0.2,0.3
2023-11-06,5,11.32000000000044,1.0848963084091445,1.1769999999997895,11.400000000001409,11.400000000001409,12.099999999999334,0.09583889650257087,17.1450833333347,15.436035066572968,-1.034467935870015,Compressing,-14.820000000003265,-0.7949824278729982,falling,Neutral,True,0.3,0.8,0.2,0.6
2023-11-13,5,11.14000000000015,2.9065443399335082,8.447999999999514,8.20000000000043,12.600000000000389,13.199999999999878,0.2609106229742791,17.070500000001328,15.475664081068777,-0.5571651048273677,Neutral,7.270999999999724,0.47730283104264737,rising,Compressing,True,0.6,0.4,0.2,0.3
2023-11-20,5,13.859999999999761,5.954242185198327,35.45299999999534,9.00000000000123,14.099999999999113,15.300000000000313,0.4295990032610699,18.582166666667984,16.290053232129715,1.0356524372831477,Expanding,27.004999999995828,1.5928175421105153,rising,Neutral,True,1.0,0.4,0.1,0.1
2023-11-27,5,16.17999999999986,5.138287652515855,26.401999999996896,15.299999999998093,18.400000000000638,19.599999999999618,0.317570312269215,17.922500000000735,15.792143175749908,0.5369442200231004,Neutral,-9.050999999998446,-0.4987082172600473,falling,Expanding,True,0.6,0.4,0.2,0.3
2023-12-11,5,11.779999999999902,6.040860865804887,36.492000000012965,7.399999999999629,8.599999999998609,17.400000000000748,0.5128065251107756,16.54041666666772,11.291030145344962,1.7670294983288866,Expanding,28.53000000001234,2.442407535189158,rising,Neutral,True,1.0,0.4,0.1,0.1
2023-12-18,5,13.279999999999959,4.939331938633862,24.39700000000855,11.499999999999844,12.399999999999078,12.499999999999734,0.3719376459814667,17.249083333335342,11.493217539477941,0.6219247692929242,Neutral,-12.095000000004415,-1.1451047290359624,falling,Expanding,True,0.6,0.4,0.2,0.3
